Genus,Species,Genus Specis,Common Name,Compound Name,Reference (Nature format)
Baphia,massaiensis,Baphia massaiensis,,2-Azetidinecarboxylic Acid,"Bell, E. A., Watson, A. A. & Nash, R. J. Non-protein amino acids: A review of the biosynthesis and taxonomic significance. Nat Prod Commun 3, 93-110 (2008). "
Beta,vulgaris,Beta vulgaris,Sugar beet (trace),2-Azetidinecarboxylic Acid,"Fowden, L. Amino acid complement of plants. Phytochemistry 11, 2271-2276 (1972)."
Beta,vulgaris,Beta vulgaris,Sugar beet (trace),2-Azetidinecarboxylic Acid,"Norris, R. D. & Fowden, L. Substrate discrimination by prolyl-tRNA synthetase from various higher plants. Phytochemistry 11, 2921-2935 (1972). "
Beta,vulgaris,Beta vulgaris,Sugar beet (trace),2-Azetidinecarboxylic Acid,"Rubenstein, E., Zhou, H., Krasinska, K. M., Chien, A. & Becker, C. H. Azetidine-2-carboxylic acid in garden beets (Beta vulgaris). Phytochemistry 67, 898-903 (2006). https://doi.org/10.1016/j.phytochem.2006.01.028"
Beta,vulgaris,Beta vulgaris,Sugar beet (trace),2-Azetidinecarboxylic Acid,"Rubenstein, E. et al. Azetidine-2-carboxylic acid in the food chain. Phytochemistry 70, 100-104 (2009). https://doi.org/10.1016/j.phytochem.2008.11.007"
Bowiea,volubilis,Bowiea volubilis,Climbing onion,2-Azetidinecarboxylic Acid,"Fowden, L. Azetidine-2-carboxylic acid: a new cyclic imino acid occurring in plants. Biochem J 64, 323-332 (1956). https://doi.org/10.1042/bj0640323"
Bowiea,volubilis,Bowiea volubilis,Climbing onion,2-Azetidinecarboxylic Acid,"Fowden, L. & Steward, F. C. Nitrogenous compounds and nitrogen metabolism in the Liliaceae: I. The occurrence of soluble nitrogenous compounds. Ann Bot-London 21, 53-67 (1957). https://doi.org/10.1093/oxfordjournals.aob.a083556"
Bussea,gossweileri,Bussea gossweileri,,2-Azetidinecarboxylic Acid,"Bell, E. A., Watson, A. A. & Nash, R. J. Non-protein amino acids: A review of the biosynthesis and taxonomic significance. Nat Prod Commun 3, 93-110 (2008). "
Clavaria,miyabeana,Clavaria miyabeana,Clavariacae; a mushroom,2-Azetidinecarboxylic Acid,"Minakata, H. et al. Antimutagenic unusual amino acids from plants. Experientia 41, 1622-1623 (1985). https://doi.org/10.1007/bf01964840"
Convallaria,majalis,Convallaria majalis,Lily of the valley (Close to concentration of other free a.a.),2-Azetidinecarboxylic Acid,"Fowden, L. Azetidine-2-Carboxylic Acid - New Constituent of Plants. Nature 176, 347-348 (1955). https://doi.org/DOI 10.1038/176347a0"
Convallaria,majalis,Convallaria majalis,Lily of the valley,2-Azetidinecarboxylic Acid,"Fowden, L. Azetidine-2-carboxylic acid: a new cyclic imino acid occurring in plants. Biochem J 64, 323-332 (1956). https://doi.org/10.1042/bj0640323"
Convallaria,majalis,Convallaria majalis,Lily of the valley,2-Azetidinecarboxylic Acid,"Fowden, L. & Steward, F. C. Nitrogenous compounds and nitrogen metabolism in the Liliaceae: I. The occurrence of soluble nitrogenous compounds. Ann Bot-London 21, 53-67 (1957). https://doi.org/10.1093/oxfordjournals.aob.a083556"
